"coef","effect"
0.0865857488927896,"QB"
0.0823834004897003,"QB"
0.0966506497408782,"QB"
0.11136623381826,"QB"
0.107314332275246,"QB"
0.081283775730425,"QB"
0.0880086745488657,"QB"
0.110454330268276,"QB"
0.099765491659004,"QB"
0.105570007587647,"QB"
0.115258788731366,"QB"
0.08788446487052,"QB"
0.099919251073063,"QB"
0.0994812176778346,"QB"
0.0903724740002533,"QB"
0.102615327863417,"QB"
0.0852027707617944,"QB"
0.0857998616689104,"QB"
0.0851049817209397,"QB"
0.0867611894898143,"QB"
0.117125891030371,"QB"
0.0916942869338582,"QB"
0.127334145270633,"QB"
0.0950525407607865,"QB"
0.109027044950935,"QB"
0.110689439260707,"QB"
0.103319491310652,"QB"
0.114080731085428,"QB"
0.0889483227067527,"QB"
0.110396293076908,"QB"
0.097764015784936,"QB"
0.0926340735698324,"QB"
0.0972006432732398,"QB"
0.0878054244014118,"QB"
0.109693220895655,"QB"
0.0981880685767843,"QB"
0.12610963974409,"QB"
0.115135048313839,"QB"
0.0926473608416545,"QB"
0.109976247946572,"QB"
0.103706736786895,"QB"
0.102435614880374,"QB"
0.100926880349384,"QB"
0.0977660520706304,"QB"
0.103349057056641,"QB"
0.093784631270705,"QB"
0.11248115264555,"QB"
0.0987188090139939,"QB"
0.104561927947326,"QB"
0.0909720918611682,"QB"
0.118141341207235,"QB"
0.0844366246883339,"QB"
0.0921948013292578,"QB"
0.0889642174650344,"QB"
0.0886528950734989,"QB"
0.0913467897025253,"QB"
0.104691183932363,"QB"
0.110069846162874,"QB"
0.101260142062667,"QB"
0.0923970493829228,"QB"
0.106477290304923,"QB"
0.104624203402136,"QB"
0.0887987607264569,"QB"
0.114299901637682,"QB"
0.0806172461370533,"QB"
0.0929208158569436,"QB"
0.101971285049885,"QB"
0.0850996592757757,"QB"
0.101709652765803,"QB"
0.0944565996035204,"QB"
0.102714319963263,"QB"
0.0820365110950265,"QB"
0.0930384462159969,"QB"
0.0929561044366783,"QB"
0.0976935062279627,"QB"
0.0991461878809631,"QB"
0.0926799776133239,"QB"
0.0891771320287457,"QB"
0.110746287674499,"QB"
0.100763994969533,"QB"
0.0965841797154473,"QB"
0.0983325680639621,"QB"
0.106806575856883,"QB"
0.100776371432224,"QB"
0.107816804311027,"QB"
0.116324397212512,"QB"
0.101093579400612,"QB"
